Year,State Name,Dist Name,BARLEY HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal)
1974,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1975,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1976,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,82.9,-1.0
1977,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,85.9,-1.0
1978,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,82.9,117.1
1979,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,104.4,151.2
1980,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,105.5,184.2
1981,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,116.5,164.2
1982,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,131.4,244.3
1983,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,225.7
1984,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,188.0
1985,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,214.4
1986,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,191.0
1987,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,244.5
1988,Chhattisgarh,Raipur,-1.0,225.0,-1.0,-1.0,-1.0,312.1
1989,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,202.9,311.9
1990,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,207.0,320.0
1991,Chhattisgarh,Raipur,-1.0,450.0,-1.0,-1.0,239.0,397.0
1992,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,295.0,408.0
1993,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,317.0,459.0
1994,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,378.0,465.0
1995,Chhattisgarh,Raipur,342.0,500.0,303.0,407.0,467.0,467.0
1996,Chhattisgarh,Raipur,-1.0,-1.0,463.0,498.0,-1.0,612.0
1997,Chhattisgarh,Raipur,430.0,559.0,407.0,424.0,418.0,659.0
1998,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,463.0,550.0
1999,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,513.0,753.0
2000,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,505.0,720.0
2001,Chhattisgarh,Raipur,-1.0,-1.0,500.0,-1.0,521.0,781.0
2002,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,437.0,823.0
2003,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2004,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,565.0,798.0
2005,Chhattisgarh,Raipur,-1.0,-1.0,1200.0,-1.0,612.0,-1.0
2006,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,665.0,1246.0
2007,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,749.0,1394.0
2008,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,985.0,-1.0
2009,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,998.0,1435.0
2010,Chhattisgarh,Raipur,-1.0,500.0,-1.0,-1.0,1061.0,1340.0
2011,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,1081.0,1474.0
2012,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,1231.0,-1.0
2013,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,1491.0,1920.0
2015,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,1407.0,1813.0
2016,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,1486.67,1790.0
1966,Chhattisgarh,Bilaspur,-1.0,-1.0,54.5,-1.0,-1.0,-1.0
1967,Chhattisgarh,Bilaspur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,Chhattisgarh,Bilaspur,-1.0,-1.0,68.5,-1.0,-1.0,-1.0
1969,Chhattisgarh,Bilaspur,-1.0,-1.0,53.3,-1.0,-1.0,-1.0
1970,Chhattisgarh,Bilaspur,-1.0,-1.0,42.0,-1.0,-1.0,-1.0
1971,Chhattisgarh,Bilaspur,-1.0,-1.0,50.0,-1.0,-1.0,-1.0
1972,Chhattisgarh,Bilaspur,-1.0,-1.0,60.8,-1.0,-1.0,-1.0
1973,Chhattisgarh,Bilaspur,-1.0,-1.0,85.0,-1.0,-1.0,-1.0
1974,Chhattisgarh,Bilaspur,-1.0,-1.0,152.0,-1.0,-1.0,-1.0
1975,Chhattisgarh,Bilaspur,-1.0,-1.0,100.0,-1.0,-1.0,-1.0
1976,Chhattisgarh,Bilaspur,-1.0,-1.0,96.6,-1.0,73.4,-1.0
1977,Chhattisgarh,Bilaspur,-1.0,-1.0,93.7,-1.0,77.7,-1.0
1978,Chhattisgarh,Bilaspur,-1.0,-1.0,114.5,-1.0,85.4,120.8
1979,Chhattisgarh,Bilaspur,-1.0,-1.0,125.5,-1.0,109.9,162.3
1980,Chhattisgarh,Bilaspur,-1.0,-1.0,127.5,-1.0,102.5,185.9
1981,Chhattisgarh,Bilaspur,-1.0,-1.0,122.5,-1.0,118.8,178.7
1982,Chhattisgarh,Bilaspur,-1.0,-1.0,155.8,-1.0,129.0,219.5
1983,Chhattisgarh,Bilaspur,-1.0,-1.0,136.3,-1.0,-1.0,209.3
1984,Chhattisgarh,Bilaspur,-1.0,-1.0,170.5,-1.0,-1.0,183.6
1985,Chhattisgarh,Bilaspur,-1.0,-1.0,165.6,-1.0,-1.0,187.7
1986,Chhattisgarh,Bilaspur,-1.0,-1.0,180.0,-1.0,-1.0,218.6
1987,Chhattisgarh,Bilaspur,-1.0,-1.0,195.0,-1.0,-1.0,250.8
1988,Chhattisgarh,Bilaspur,-1.0,-1.0,-1.0,-1.0,-1.0,314.2
1989,Chhattisgarh,Bilaspur,-1.0,-1.0,-1.0,-1.0,257.8,282.5
1990,Chhattisgarh,Bilaspur,-1.0,-1.0,-1.0,-1.0,209.0,315.0
1991,Chhattisgarh,Bilaspur,-1.0,-1.0,-1.0,-1.0,250.0,350.0
1992,Chhattisgarh,Bilaspur,-1.0,-1.0,275.0,-1.0,-1.0,-1.0
1993,Chhattisgarh,Bilaspur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1994,Chhattisgarh,Bilaspur,-1.0,-1.0,519.0,-1.0,339.0,484.0
1995,Chhattisgarh,Bilaspur,342.0,1600.0,450.0,407.0,392.0,562.0
1996,Chhattisgarh,Bilaspur,-1.0,-1.0,502.0,498.0,-1.0,700.0
1997,Chhattisgarh,Bilaspur,430.0,-1.0,566.0,424.0,418.0,694.0
1998,Chhattisgarh,Bilaspur,-1.0,-1.0,519.0,-1.0,474.0,582.0
1999,Chhattisgarh,Bilaspur,-1.0,-1.0,487.0,-1.0,510.0,775.0
2000,Chhattisgarh,Bilaspur,-1.0,-1.0,602.0,-1.0,516.0,783.0
2001,Chhattisgarh,Bilaspur,-1.0,-1.0,606.0,-1.0,489.0,750.0
2002,Chhattisgarh,Bilaspur,-1.0,-1.0,692.0,-1.0,511.0,693.0
2003,Chhattisgarh,Bilaspur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2004,Chhattisgarh,Bilaspur,-1.0,-1.0,603.0,-1.0,545.0,704.0
2005,Chhattisgarh,Bilaspur,-1.0,-1.0,697.0,-1.0,629.0,891.0
2006,Chhattisgarh,Bilaspur,-1.0,-1.0,605.0,-1.0,653.0,1068.0
2007,Chhattisgarh,Bilaspur,-1.0,-1.0,693.0,-1.0,662.0,1162.0
2008,Chhattisgarh,Bilaspur,933.0,-1.0,817.0,-1.0,1060.0,1137.0
2009,Chhattisgarh,Bilaspur,-1.0,-1.0,841.0,-1.0,1239.0,1221.0
2010,Chhattisgarh,Bilaspur,800.0,-1.0,-1.0,1017.0,1019.0,1217.0
2011,Chhattisgarh,Bilaspur,-1.0,-1.0,1154.0,980.0,1077.0,1114.0
2012,Chhattisgarh,Bilaspur,2520.0,-1.0,1075.0,3000.0,1277.0,1437.0
2013,Chhattisgarh,Bilaspur,3456.0,-1.0,2946.0,3500.0,1257.0,1585.0
2014,Chhattisgarh,Bilaspur,1933.0,-1.0,1796.0,1557.0,1323.0,1594.0
2015,Chhattisgarh,Bilaspur,2033.0,-1.0,2207.0,1616.0,1338.0,1917.0
2016,Chhattisgarh,Bilaspur,2430.0,-1.0,1880.0,1698.5,1364.0,2115.0
1966,Chhattisgarh,Raigarh,-1.0,-1.0,45.0,-1.0,-1.0,-1.0
1967,Chhattisgarh,Raigarh,-1.0,-1.0,42.0,-1.0,-1.0,-1.0
1968,Chhattisgarh,Raigarh,-1.0,-1.0,40.3,-1.0,-1.0,-1.0
1969,Chhattisgarh,Raigarh,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,Chhattisgarh,Raigarh,-1.0,-1.0,40.0,-1.0,-1.0,-1.0
1971,Chhattisgarh,Raigarh,-1.0,-1.0,49.3,-1.0,-1.0,-1.0
1972,Chhattisgarh,Raigarh,-1.0,-1.0,51.0,-1.0,-1.0,-1.0
1973,Chhattisgarh,Raigarh,-1.0,-1.0,58.1,-1.0,-1.0,-1.0
1974,Chhattisgarh,Raigarh,-1.0,-1.0,106.6,-1.0,-1.0,-1.0
1975,Chhattisgarh,Raigarh,-1.0,-1.0,77.1,-1.0,-1.0,-1.0
1976,Chhattisgarh,Raigarh,-1.0,-1.0,68.8,-1.0,72.5,-1.0
1977,Chhattisgarh,Raigarh,-1.0,-1.0,76.8,-1.0,72.0,-1.0
1978,Chhattisgarh,Raigarh,-1.0,-1.0,73.6,-1.0,74.6,-1.0
1979,Chhattisgarh,Raigarh,-1.0,-1.0,91.6,-1.0,91.1,159.2
1980,Chhattisgarh,Raigarh,-1.0,105.2,94.7,-1.0,89.3,171.4
1981,Chhattisgarh,Raigarh,-1.0,101.5,111.6,-1.0,110.6,184.5
1982,Chhattisgarh,Raigarh,-1.0,115.9,125.0,-1.0,114.1,203.4
1983,Chhattisgarh,Raigarh,-1.0,-1.0,98.4,-1.0,-1.0,216.2
1984,Chhattisgarh,Raigarh,-1.0,-1.0,115.7,-1.0,-1.0,192.9
1985,Chhattisgarh,Raigarh,-1.0,131.9,130.6,-1.0,-1.0,194.3
1986,Chhattisgarh,Raigarh,-1.0,115.0,124.3,-1.0,-1.0,200.0
1987,Chhattisgarh,Raigarh,-1.0,-1.0,151.3,-1.0,-1.0,216.2
1988,Chhattisgarh,Raigarh,-1.0,-1.0,172.3,-1.0,-1.0,245.1
1989,Chhattisgarh,Raigarh,-1.0,-1.0,193.6,-1.0,173.7,259.7
1990,Chhattisgarh,Raigarh,-1.0,-1.0,198.0,-1.0,191.0,302.0
1991,Chhattisgarh,Raigarh,-1.0,-1.0,218.0,-1.0,218.0,311.0
1992,Chhattisgarh,Raigarh,-1.0,-1.0,297.0,-1.0,263.0,364.0
1993,Chhattisgarh,Raigarh,-1.0,-1.0,318.0,-1.0,298.0,465.0
1994,Chhattisgarh,Raigarh,-1.0,-1.0,500.0,-1.0,322.0,440.0
1995,Chhattisgarh,Raigarh,342.0,464.0,335.0,407.0,492.0,557.0
1996,Chhattisgarh,Raigarh,-1.0,-1.0,441.0,498.0,-1.0,667.0
1997,Chhattisgarh,Raigarh,430.0,559.0,479.0,424.0,418.0,579.0
1998,Chhattisgarh,Raigarh,-1.0,1000.0,448.0,-1.0,-1.0,798.0
1999,Chhattisgarh,Raigarh,-1.0,1000.0,655.0,-1.0,483.0,864.0
2000,Chhattisgarh,Raigarh,-1.0,-1.0,470.0,-1.0,506.0,843.0
2001,Chhattisgarh,Raigarh,-1.0,-1.0,550.0,-1.0,366.0,801.0
2002,Chhattisgarh,Raigarh,-1.0,-1.0,556.0,-1.0,441.0,823.0
2003,Chhattisgarh,Raigarh,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2004,Chhattisgarh,Raigarh,-1.0,-1.0,-1.0,-1.0,533.0,794.0
2005,Chhattisgarh,Raigarh,-1.0,-1.0,-1.0,-1.0,584.0,877.0
2006,Chhattisgarh,Raigarh,-1.0,-1.0,619.0,-1.0,615.0,1169.0
2007,Chhattisgarh,Raigarh,-1.0,-1.0,963.0,-1.0,733.0,1469.0
2008,Chhattisgarh,Raigarh,-1.0,-1.0,967.0,-1.0,899.0,1330.0
2009,Chhattisgarh,Raigarh,-1.0,-1.0,1389.0,-1.0,1035.0,1715.0
2010,Chhattisgarh,Raigarh,-1.0,-1.0,1000.0,-1.0,1240.0,-1.0
2011,Chhattisgarh,Raigarh,-1.0,-1.0,1100.0,-1.0,985.0,-1.0
2012,Chhattisgarh,Raigarh,-1.0,-1.0,1168.0,-1.0,1279.0,1879.0
2013,Chhattisgarh,Raigarh,-1.0,-1.0,1238.0,-1.0,1410.0,1991.0
2014,Chhattisgarh,Raigarh,-1.0,-1.0,1667.0,-1.0,1526.0,1986.0
2015,Chhattisgarh,Raigarh,1621.0,-1.0,1330.0,2011.0,1402.0,2102.0
2016,Chhattisgarh,Raigarh,2833.0,-1.0,1501.0,2000.0,1485.0,2491.0
1966,Chhattisgarh,Surguja,-1.0,-1.0,69.4,-1.0,-1.0,-1.0
1967,Chhattisgarh,Surguja,54.4,-1.0,52.8,-1.0,-1.0,-1.0
1968,Chhattisgarh,Surguja,62.8,-1.0,46.9,-1.0,-1.0,-1.0
1969,Chhattisgarh,Surguja,61.3,-1.0,52.1,-1.0,-1.0,-1.0
1970,Chhattisgarh,Surguja,50.0,-1.0,40.8,-1.0,-1.0,-1.0
1971,Chhattisgarh,Surguja,58.0,-1.0,46.6,-1.0,-1.0,-1.0
1972,Chhattisgarh,Surguja,68.4,-1.0,54.8,-1.0,-1.0,-1.0
1973,Chhattisgarh,Surguja,-1.0,-1.0,60.7,-1.0,-1.0,-1.0
1974,Chhattisgarh,Surguja,126.7,-1.0,120.3,-1.0,-1.0,-1.0
1975,Chhattisgarh,Surguja,83.1,-1.0,69.8,-1.0,-1.0,-1.0
1976,Chhattisgarh,Surguja,102.1,-1.0,83.2,-1.0,75.3,-1.0
1977,Chhattisgarh,Surguja,105.6,-1.0,90.5,-1.0,-1.0,-1.0
1978,Chhattisgarh,Surguja,92.2,-1.0,90.9,100.0,-1.0,118.1
1979,Chhattisgarh,Surguja,-1.0,-1.0,117.1,-1.0,-1.0,152.4
1980,Chhattisgarh,Surguja,124.1,-1.0,115.3,-1.0,-1.0,181.1
1981,Chhattisgarh,Surguja,100.0,-1.0,117.7,125.0,-1.0,199.1
1982,Chhattisgarh,Surguja,137.1,-1.0,131.2,-1.0,-1.0,227.1
1983,Chhattisgarh,Surguja,150.0,-1.0,149.0,-1.0,-1.0,229.4
1984,Chhattisgarh,Surguja,112.5,-1.0,105.2,130.0,-1.0,176.4
1985,Chhattisgarh,Surguja,155.0,-1.0,128.0,-1.0,-1.0,180.3
1986,Chhattisgarh,Surguja,109.2,-1.0,126.6,-1.0,-1.0,175.5
1987,Chhattisgarh,Surguja,80.0,-1.0,136.0,-1.0,-1.0,210.0
1988,Chhattisgarh,Surguja,266.7,-1.0,179.4,187.5,-1.0,287.6
1989,Chhattisgarh,Surguja,-1.0,-1.0,155.7,-1.0,-1.0,236.4
1990,Chhattisgarh,Surguja,219.0,-1.0,169.0,250.0,-1.0,292.0
1991,Chhattisgarh,Surguja,200.0,-1.0,221.0,-1.0,-1.0,356.0
1992,Chhattisgarh,Surguja,319.0,-1.0,271.0,404.0,272.0,417.0
1993,Chhattisgarh,Surguja,389.0,-1.0,201.0,-1.0,325.0,430.0
1994,Chhattisgarh,Surguja,448.0,-1.0,397.0,550.0,332.0,491.0
1995,Chhattisgarh,Surguja,367.0,358.0,397.0,400.0,465.0,462.0
1996,Chhattisgarh,Surguja,473.0,667.0,382.0,500.0,-1.0,575.0
1997,Chhattisgarh,Surguja,444.0,400.0,421.0,425.0,418.0,603.0
1998,Chhattisgarh,Surguja,449.0,250.0,436.0,500.0,387.0,625.0
1999,Chhattisgarh,Surguja,567.0,300.0,425.0,525.0,340.0,707.0
2000,Chhattisgarh,Surguja,352.0,-1.0,351.0,617.0,420.0,-1.0
2001,Chhattisgarh,Surguja,540.0,-1.0,426.0,522.0,395.0,604.0
2002,Chhattisgarh,Surguja,432.0,-1.0,442.0,620.0,436.0,645.0
2003,Chhattisgarh,Surguja,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2004,Chhattisgarh,Surguja,514.0,-1.0,-1.0,-1.0,550.0,637.0
2005,Chhattisgarh,Surguja,572.0,-1.0,519.0,601.0,563.0,775.0
2006,Chhattisgarh,Surguja,580.0,-1.0,587.0,1250.0,615.0,941.0
2007,Chhattisgarh,Surguja,700.0,-1.0,561.0,986.0,767.0,1083.0
2008,Chhattisgarh,Surguja,-1.0,-1.0,610.0,-1.0,952.0,-1.0
2009,Chhattisgarh,Surguja,-1.0,-1.0,1247.0,-1.0,1163.0,-1.0
2010,Chhattisgarh,Surguja,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2011,Chhattisgarh,Surguja,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2012,Chhattisgarh,Surguja,-1.0,-1.0,1100.0,-1.0,1000.0,1800.0
2013,Chhattisgarh,Surguja,-1.0,-1.0,1300.0,-1.0,1200.0,2200.0
